id,timestamp,source,rating,feedback_text,sentiment,category,issue_summary
1309,2024-01-15 18:30:00,survey_comment,2,"I was charged twice for the same order, please refund the extra amount - my fruits order in Kolkata",negative,Billing,Customer was charged twice for the same order.
2320,2024-02-24 17:25:08,survey_comment,,Nobody from support replied to my three emails (order #235715),negative,Staff/Support,Support did not reply to multiple emails.
2064,2024-01-24 08:03:17,support_ticket,3,Notifications stopped working after the update Agent Anil was handling it.,negative,App Bug,Notifications stopped working after the app update.
2037,2024-03-04 18:30:00,support_ticket,2,Food was spilled all over the bag when it reached me Agent Arjun was handling it.,negative,Delivery,Food was spilled inside the delivery bag.
2491,2023-12-31 18:30:00,survey_comment,1,Driver could not find my building and just cancelled!!!!,negative,Delivery,Driver could not find the building and cancelled the order.
2632,2024-01-06 01:03:53,survey_comment,3,test test test ignore,neutral,Other,Irrelevant test feedback.
1659,2024-03-16 08:29:53,survey_comment,1,The store staff was friendly when I picked up my order - my pizza order in Bangalore,positive,Staff/Support,Store staff was friendly during order pickup.
2011,N/A,app_store_review,,Delivery person was rude and threw the bag on the floor Agent Arjun was handling it.,negative,Delivery,Delivery person was rude and mishandled the package.
1624,2024-03-16 18:30:00,app_store_review,2,APP KEEPS CRASHING EVERY TIME I OPEN THE CART,negative,App Bug,App keeps crashing when opening the cart.
1143,2024-02-07 18:30:00,survey_comment,,LOGIN BUTTON DOES NOTHING ON THE LATEST UPDATE. THIS IS THE FOURTH TIME.,negative,App Bug,Login button is non-functional after the latest update.
2065,2024-06-01 18:30:00,support_ticket,2,"Items were missing from my delivery, got only half the order (order #387150)",negative,Delivery,"Items were missing from the delivery, only half the order received."
2111,2024-01-17 00:00:00,support_ticket,5,"Great experience overall, food always fresh!!!!",positive,Other,Great experience with fresh food.
2338,2024-03-08 18:30:00,support_ticket,,App keeps crashing every time I open the cart,negative,App Bug,App keeps crashing when opening the cart.
2271,2024-03-13 18:30:00,app_store_review,5,"Great experience overall, food always fresh (order #785072)",positive,Other,Great experience with fresh food.
1070,N/A,app_store_review,2,Chat support gave me copy paste answers that did not help Agent Anil was handling it.,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
1118,N/A,survey_comment,3,The support agent was very helpful and solved my issue quickly (order #891083),positive,Staff/Support,Support agent was helpful and quickly resolved the issue.
1565,2024-02-15 18:30:00,app_store_review,2,App keeps crashing every time I open the cart (order #854701),negative,App Bug,App keeps crashing when opening the cart.
1514,2024-03-10 00:00:00,support_ticket,2,Order marked delivered but nothing arrived at my place - my thali order in Chennai,negative,Delivery,Order was marked delivered but never arrived.
2794,N/A,support_ticket,,Delivery persooon was rude and threw the bag on the floor. This is the fourth time..,negative,Delivery,Delivery person was rude and mishandled the package.
1586,2024-03-23 07:43:08,app_store_review,4,"Love this app, ordering is so smooth and fast - my burger order in Pune",positive,Other,App is loved for its smooth and fast ordering.
1749,2024-03-11 18:30:00,support_ticket,,"Super easy to use and quick checkout, well done team (order #813213)",positive,Other,App is super easy to use with quick checkout.
2052,2024-02-07 11:15:49,support_ticket,2,Login button does nothing on the latest update,negative,App Bug,Login button is non-functional after the latest update.
2362,2024-01-31 18:30:00,survey_comment,,The support agent was very helpful and solved my issue quickly Agent Priya was handling it.,positive,Staff/Support,Support agent was helpful and quickly resolved the issue.
1481,N/A,survey_comment,,The store staff was friendly when I picked up my order. This is the third time.!!!!,positive,Staff/Support,Store staff was friendly during order pickup.
1084,2024-03-25 18:30:00,survey_comment,3,"Cannot add address, the save button is greyed out Agent Neha was handling it.",negative,App Bug,Unable to add address as the save button is greyed out.
1245,2024-02-11 13:33:55,support_ticket,2,Login button does nothing on the latest update. This is the fourth time.,negative,App Bug,Login button is non-functional after the latest update.
2099,2024-03-08 18:30:00,support_ticket,,"Super easy to use and quick checkout, well done team. This is the third time.",positive,Other,App is super easy to use with quick checkout.
1463,24/01/2024,support_ticket,4,"Love this app, ordering is so smooth and fast",positive,Other,App is loved for its smooth and fast ordering.
1849,26/03/2024,support_ticket,2,Login button does nothing on the latest update - my pizza order in Hyderabad,negative,App Bug,Login button is non-functional after the latest update.
1160,2024-03-14 18:30:00,support_ticket,,"Love this app, ordering is so smooth and fast (order #432427)",positive,Other,App is loved for its smooth and fast ordering.
1395,2024-01-21 18:30:00,support_ticket,2,Driver could not find my building and just cancelled - my pizza order in Chennai,negative,Delivery,Driver could not find the building and cancelled the order.
2030,2023-12-31 18:30:00,survey_comment,2,Payment failed but money got deducted from my account Agent Neha was handling it.,negative,Billing,Payment failed but money was deducted from the account.
1406,2024-01-04 00:00:00,survey_comment,2,Payment failed but money got deducted from my account. This is the fourth time.,negative,Billing,Payment failed but money was deducted from the account.
2175,N/A,support_ticket,1,My order arrived almost an hour late and the food was cold. This is the first time.,negative,Delivery,Order arrived almost an hour late and the food was cold.
1193,N/A,support_ticket,2,Payment failed but money got deducted from my account. This is the second time.!!!!,negative,Billing,Payment failed but money was deducted from the account.
1281,2024-03-04 18:30:00,survey_comment,4,"Love this app, ordering is so smooth and fast (order #349736)",positive,Other,App is loved for its smooth and fast ordering.
1527,15/02/2024,app_store_review,,Notifications stopped working after the update - my milk order in Kolkata,negative,App Bug,Notifications stopped working after the app update.
2241,20/03/2024,survey_comment,,"Five stars, the app is fantastic and reliable (order #687119)",positive,Other,App is fantastic and reliable.
1784,2024-01-05 18:30:00,support_ticket,1,Login button does nothing on the latest update (order #822494),negative,App Bug,Login button is non-functional after the latest update.
1977,2024-01-06 18:30:00,support_ticket,1,Customer care kept me on hold for 40 minutes then disconnected Agent Rahul was handling it.,negative,Staff/Support,Customer care kept the user on hold for 40 minutes before disconnecting.
2014,2024-03-05 22:52:41,app_store_review,4,"Five stars, the app is fantastic and reliable (order #840530)",positive,Other,App is fantastic and reliable.
2136,2024-02-23 18:30:00,support_ticket,2,"I was charged twice for the same order, please refund the extra amount - my fruits order in Mumbai",negative,Billing,Customer was charged twice for the same order.
2360,2024-01-02 18:30:00,app_store_review,3,Coupon SAVE50 did not apply at checkout and I paid full price (order #294735),negative,Billing,"Coupon did not apply at checkout, resulting in full price payment."
2200,N/A,app_store_review,3,"  Double deduction on my card for order, need this reversed asap (order #493335)   ",negative,Billing,Double deduction occurred on the card for an order.
2045,N/A,support_ticket,,App keeps crashing every time I open the cart (order #696053),negative,App Bug,App keeps crashing when opening the cart.
1442,2024-02-14 18:30:00,app_store_review,1,Nobody from support replied to my three emails - my milk order in Hyderabad,negative,Staff/Support,Support did not reply to multiple emails.
1422,2024-03-11 18:30:00,support_ticket,1,Customer care kept me on hold for 40 minutes then disconnected Agent Meera was handling it.,negative,Staff/Support,Customer care kept the user on hold for 40 minutes before disconnecting.
1802,2024-01-08 18:30:00,survey_comment,5,"SUPER EASY TO USE AND QUICK CHECKOUT, WELL DONE TEAM",positive,Other,App is super easy to use with quick checkout.
2433,2024-01-09 18:30:00,survey_comment,3,The store staff was friendly when I picked up my order. This is the fourth time.,positive,Staff/Support,Store staff was friendly during order pickup.
1241,2024-07-01 18:30:00,survey_comment,2,Payment failed but money got deducted from my account - my thali order in Hyderabad,negative,Billing,Payment failed but money was deducted from the account.
2232,2024-02-22 18:30:00,survey_comment,1,CHAT SUPPORT GAVE ME COPY PASTE ANSWERS THAT DID NOT HELP,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
1487,2024-02-05 04:28:38,app_store_review,2,The invoice amount does not match what the app showed me. This is the second time.,negative,Billing,Invoice amount does not match the amount shown in the app.
2197,2024-03-11 18:30:00,support_ticket,2,Chat support gave me copy paste answers that did not help. This is the second time.,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
2341,2024-03-06 18:30:00,support_ticket,5,"Great experience overall, food always fresh - my burger order in Delhi",positive,Other,Great experience with fresh food.
1577,2024-01-01 18:30:00,support_ticket,1,Chat support gave me copy paste answers that did not help (order #363592),negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
2438,2024-01-14 18:30:00,survey_comment,,"Cannot add address, the save button is greyed out - my thali order in Kolkata",negative,App Bug,Unable to add address as the save button is greyed out.
1171,N/A,survey_comment,2,Food was spilled all over the bag when it reached me - my thali order in Pune,negative,Delivery,Food was spilled inside the delivery bag.
1573,2024-02-17 00:00:00,survey_comment,5,"Super easy to use and quick checkout, well done team Agent Meera was handling it.!!!!",positive,Other,App is super easy to use with quick checkout.
1833,2024-08-31 18:30:00,app_store_review,2,Food was spilled all over the bag when it reached me Agent Neha was handling it.,negative,Delivery,Food was spilled inside the delivery bag.
1775,2024-09-02 18:30:00,app_store_review,5,"Great experience overall, food always fresh (order #125918)!!!!",positive,Other,Great experience with fresh food.
2209,2024-11-30 18:30:00,app_store_review,1,The invoice amount does not match what the app showed me Agent Anil was handling it.!!!!,negative,Billing,Invoice amount does not match the amount shown in the app.
1676,N/A,app_store_review,1,"Cannot add address, the save button is greyed out (order #840255)",negative,App Bug,Unable to add address as the save button is greyed out.
1687,N/A,survey_comment,2,Delivery person was rude and threw the bag on the floor. This is the first time.,negative,Delivery,Delivery person was rude and mishandled the package.
1352,N/A,survey_comment,3,"AVERAGE EXPERIENCE, COULD BE BETTER",neutral,Other,Experience was average and could be improved.
2503,N/A,app_store_review,4,"Fantastic service, only took two hours for cold food, amazing!!!!",negative,Delivery,Order arrived cold after a two-hour delay.
1618,N/A,survey_comment,1,Driver could not find my building and just cancelled (order #237606),negative,Delivery,Driver could not find the building and cancelled the order.
2450,2024-11-30 18:30:00,support_ticket,2,Looogin button does nothing on the latest update,negative,App Bug,Login button is non-functional after the latest update.
1064,N/A,app_store_review,3,Search bar shows no results even for items that exist (order #301939),negative,App Bug,Search bar shows no results for existing items.
1976,2024-01-22 18:30:00,survey_comment,,DELIVERY PERSON WAS RUDE AND THREW THE BAG ON THE FLOOR - MY SUSHI ORDER IN MUMBAI,negative,Delivery,Delivery person was rude and mishandled the package.
1181,N/A,support_ticket,4,"Best delivery service in my city, never had an issue (order #401602)",positive,Delivery,Best delivery service with no issues.
2306,2024-03-20 18:30:00,survey_comment,5,"  Best delivery service in my city, never had an issue (order #851807)   ",positive,Delivery,Best delivery service with no issues.
1919,2024-03-06 00:00:00,app_store_review,,Got charged for a subscription I cancelled last month. This is the third time.,negative,Billing,Charged for a subscription that was cancelled.
1087,2024-03-27 18:30:00,survey_comment,,"Five stars, the app is fantastic and reliable - my milk order in Chennai",positive,Other,App is fantastic and reliable.
2255,2024-09-01 18:30:00,app_store_review,2,App stuck on loading screen for 5 minutes then closed - my thali order in Bangalore,negative,App Bug,App gets stuck on the loading screen and then closes.
1965,2024-01-11 09:06:50,support_ticket,3,Got charged for a subscription I cancelled last month (order #434064),negative,Billing,Charged for a subscription that was cancelled.
1647,2024-03-04 18:30:00,app_store_review,5,"Love this app, ordering is so smooth and fast. This is the third time.",positive,Other,App is loved for its smooth and fast ordering.
2006,2024-01-04 18:30:00,app_store_review,1,"I was charged twice for the same order, please refund the extra amount Agent Anil was handling it.",negative,Billing,Customer was charged twice for the same order.
1385,2024-03-09 22:49:43,support_ticket,2,My order arrived almost an hour late and the food was cold - my burger order in Mumbai,negative,Delivery,Order arrived almost an hour late and the food was cold.
1698,2024-02-06 18:30:00,survey_comment,3,The store staff was friendly when I picked up my order - my thali order in Pune!!!!,positive,Staff/Support,Store staff was friendly during order pickup.
1116,28/01/2024,support_ticket,2,App stuck on loading screen for 5 minutes then closed,negative,App Bug,App gets stuck on the loading screen and then closes.
2381,2024-02-16 18:30:00,app_store_review,1,Notifications stopped working after the update - my milk order in Bangalore,negative,App Bug,Notifications stopped working after the app update.
1177,N/A,survey_comment,1,The store staff was friendly when I picked up my order (order #119857),positive,Staff/Support,Store staff was friendly during order pickup.
1059,2024-02-24 18:30:00,app_store_review,2,Why is there a service fee I never agreed to on my bill Agent Sana was handling it.,negative,Billing,Unagreed service fee appeared on the bill.
2166,2024-01-20 18:30:00,support_ticket,5,"Best delivery service in my city, never had an issue (order #406533)",positive,Delivery,Best delivery service with no issues.
1970,2024-02-25 06:35:35,app_store_review,,The support agent was very helpful and solved my issue quickly - my thali order in Chennai,positive,Staff/Support,Support agent was helpful and quickly resolved the issue.
2628,N/A,survey_comment,1,asdkjfh askjdfh kjsdf,neutral,Other,Irrelevant feedback.
1651,2024-03-11 18:30:00,survey_comment,1,"  My refund still hasn't come after 10 days, this is ridiculous - my fruits order in Kolkata   ",negative,Billing,Refund has not been processed after 10 days.
1238,2024-02-11 01:03:30,app_store_review,,The map screen freezes and I cannot place an order (order #865618)!!!!,negative,App Bug,"Map screen freezes, preventing order placement."
2404,2024-01-13 18:30:00,survey_comment,1,"My refund still hasn't come after 10 days, this is ridiculous. This is the second time.",negative,Billing,Refund has not been processed after 10 days.
1131,2024-01-01 18:30:00,app_store_review,5,"GREAT EXPERIENCE OVERALL, FOOD ALWAYS FRESH",positive,Other,Great experience with fresh food.
1096,2024-02-27 04:17:55,support_ticket,,Notifications stopped working after the update. This is the third time.,negative,App Bug,Notifications stopped working after the app update.
1707,2024-01-16 18:30:00,app_store_review,5,"Love this app, ordering is so smooth and fast (order #948450)",positive,Other,App is loved for its smooth and fast ordering.
2484,2024-03-14 18:30:00,support_ticket,3,"IT IS OKAY, NOTHING SPECIAL",neutral,Other,"Experience was okay, nothing special."
2208,2024-01-31 18:30:00,app_store_review,,Chat support gave me copy paste answers that did not help. This is the first time.,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
1731,2024-09-30 18:30:00,support_ticket,5,"Great experience overall, food always fresh - my groceries order in Pune",positive,Other,Great experience with fresh food.
1686,2024-01-09 18:30:00,support_ticket,1,Driver could not find my building and just cancelled (order #558600),negative,Delivery,Driver could not find the building and cancelled the order.
2380,2024-01-22 18:30:00,app_store_review,4,"  Super easy to use and quick checkout, well done team. This is the fourth time.   ",positive,Other,App is super easy to use with quick checkout.
2465,2024-03-01 18:30:00,survey_comment,2,Delivery person was rude and threw the bag on the floor (order #688450),negative,Delivery,Delivery person was rude and mishandled the package.
2502,2024-03-03 18:30:00,app_store_review,4,"Fantastic service, only took two hours for cold food, amazing",negative,Delivery,Order arrived cold after a two-hour delay.
1412,13/03/2024,survey_comment,3,Waited two hours and the order was finally cancelled by the app (order #421549),negative,Delivery,Order was cancelled by the app after a two-hour wait.
1765,2024-01-06 03:16:11,survey_comment,,Noootifications stopped working after the update (order #131127),negative,App Bug,Notifications stopped working after the app update.
2268,2024-03-07 18:30:00,app_store_review,2,MY ORDER ARRIVED ALMOST AN HOUR LATE AND THE FOOD WAS COLD,negative,Delivery,Order arrived almost an hour late and the food was cold.
1124,2024-10-31 18:30:00,survey_comment,3,Food was spilled all over the bag when it reached me. This is the fourth time.,negative,Delivery,Food was spilled inside the delivery bag.
1598,2024-01-14 18:30:00,support_ticket,,Delivery person was rude and threw the bag on the floor Agent Priya was handling it.!!!!,negative,Delivery,Delivery person was rude and mishandled the package.
1861,2024-01-04 18:30:00,support_ticket,3,Chat support gave me copy paste answers that did not help (order #638512),negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
1024,2024-03-19 11:33:47,support_ticket,1,Waited two hours and the order was finally cancelled by the app (order #411120),negative,Delivery,Order was cancelled by the app after a two-hour wait.
2198,2024-01-25 11:52:04,app_store_review,1,The map screen freezes and I cannot place an order (order #731160),negative,App Bug,"Map screen freezes, preventing order placement."
2367,2024-02-06 00:00:00,app_store_review,1,The support agent was very helpful and solved my issue quickly (order #223384),positive,Staff/Support,Support agent was helpful and quickly resolved the issue.
1434,2024-01-19 18:30:00,app_store_review,3,Chat support gave me copy paste answers that did not help - my thali order in Pune,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
2002,2024-03-17 16:52:29,app_store_review,,The new version drains my battery so fast (order #652150),negative,App Bug,New app version drains battery quickly.
1462,2024-03-14 18:30:00,app_store_review,1,Driver could not find my building and just cancelled (order #318877),negative,Delivery,Driver could not find the building and cancelled the order.
2403,2024-01-27 18:30:00,survey_comment,,Coupon SAVE50 did not apply at checkout and I paid full price - my fruits order in Mumbai,negative,Billing,"Coupon did not apply at checkout, resulting in full price payment."
2153,2024-01-20 18:30:00,survey_comment,1,Why is there a service fee I never agreed to on my bill - my pizza order in Delhi,negative,Billing,Unagreed service fee appeared on the bill.
1953,2024-03-06 18:30:00,app_store_review,,Chat support gave me copy paste answers that did not help (order #784219),negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
2456,2024-03-01 05:31:42,survey_comment,2,Notifications stopped working after the update (order #144003),negative,App Bug,Notifications stopped working after the app update.
2094,2024-03-24 03:03:20,survey_comment,5,"FIVE STARS, THE APP IS FANTASTIC AND RELIABLE - MY PIZZA ORDER IN BANGALORE",positive,Other,App is fantastic and reliable.
1859,N/A,support_ticket,2,DRIVER COULD NOT FIND MY BUILDING AND JUST CANCELLED,negative,Delivery,Driver could not find the building and cancelled the order.
2125,2024-01-25 00:00:00,support_ticket,3,oook i guess,neutral,Other,Experience was okay.
1251,2024-01-25 18:30:00,survey_comment,2,Thank you to the agent Priya who handled my complaint so well (order #245998),positive,Staff/Support,Agent Priya handled the complaint well.
1365,2024-01-16 18:30:00,support_ticket,1,My order arrived almost an hour late and the food was cold. This is the fourth time.,negative,Delivery,Order arrived almost an hour late and the food was cold.
2156,2024-01-23 18:30:00,app_store_review,,"Package was left at the wrong door, I never received it!!!!",negative,Delivery,Package was left at the wrong door and never received.
1899,21/03/2024,survey_comment,5,"LOVE THIS APP, ORDERING IS SO SMOOTH AND FAST (ORDER #907526)",positive,Other,App is loved for its smooth and fast ordering.
1732,2024-01-05 18:30:00,support_ticket,,The new version drains my battery so fast Agent Priya was handling it.,negative,App Bug,New app version drains battery quickly.
2160,2024-02-10 18:19:02,app_store_review,4,"Five stars, the app is fantastic and reliable Agent Arjun was handling it.",positive,Other,App is fantastic and reliable.
2389,2024-02-13 18:30:00,support_ticket,1,The invoice amount does not match what the app showed me. This is the fourth time.,negative,Billing,Invoice amount does not match the amount shown in the app.
1630,N/A,survey_comment,2,The new version drains my battery so fast Agent Sana was handling it.,negative,App Bug,New app version drains battery quickly.
2116,2024-03-04 18:30:00,app_store_review,5,"Best delivery service in my city, never had an issue - my thali order in Chennai",positive,Delivery,Best delivery service with no issues.
1154,2024-02-11 18:30:00,survey_comment,3,"Double deduction on my card for order, need this reversed asap (order #170499)",negative,Billing,Double deduction on card for order.
1192,17/02/2024,survey_comment,4,"Super easy to use and quick checkout, well done team Agent Meera was handling it.",positive,Other,Super easy to use app with quick checkout.
1604,N/A,survey_comment,2,Order marked delivered but nooothing arrived at my place (order #772465),negative,Delivery,Order marked delivered but not received.
2371,2024-09-01 18:30:00,support_ticket,4,"Great experience overall, food always fresh. This is the first time.",positive,Other,Great experience with fresh food.
1293,2024-02-12 18:30:00,support_ticket,5,"Great experience overall, food always fresh - my sushi order in Bangalore",positive,Other,Great experience with fresh food.
2278,N/A,support_ticket,2,Delivery persooon was rude and threw the bag on the floor. This is the second time.,negative,Delivery,Delivery person was rude and threw the bag.
1401,2024-02-03 18:30:00,survey_comment,3,"My refund still hasn't come after 10 days, this is ridiculous Agent Neha was handling it.",negative,Billing,Refund not received after 10 days.
2417,25/03/2024,support_ticket,1,Chat support gave me copy paste answers that did not help - my groceries order in Hyderabad,negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
1321,2024-02-24 00:00:00,survey_comment,,"Five stars, the app is fantastic and reliable. This is the second time.",positive,Other,App is fantastic and reliable.
1389,2024-02-15 18:30:00,survey_comment,,The support agent was very helpful and solved my issue quickly (order #173199),positive,Staff/Support,Support agent was helpful and resolved the issue quickly.
2299,N/A,survey_comment,,Login button does nothing on the latest update (order #350404),negative,App Bug,Login button is unresponsive after update.
2078,2024-01-26 18:30:00,survey_comment,3,App keeps crashing every time I open the cart (order #863559),negative,App Bug,App crashes when opening the cart.
1819,2023-12-31 18:30:00,survey_comment,,Search bar shows no results even for items that exist,negative,App Bug,Search bar shows no results for existing items.
2499,2024-01-01 00:00:00,survey_comment,5,"Super easy to use and quick checkout, well done team (order #389733)",positive,Other,Super easy to use app with quick checkout.
1590,2024-03-17 18:30:00,support_ticket,3,Got charged for a subscription I cancelled last month - my pizza order in Bangalore,negative,Billing,Charged for a cancelled subscription.
1776,2024-01-03 18:30:00,app_store_review,5,"Five stars, the app is fantastic and reliable. This is the first time.",positive,Other,App is fantastic and reliable.
1387,2024-01-07 00:00:00,survey_comment,,"Items were missing from my delivery, got only half the order (order #331512)",negative,Delivery,Items missing from delivery.
1503,N/A,app_store_review,1,Waited two hours and the order was finally cancelled by the app. This is the first time.,negative,Delivery,Order cancelled by app after two-hour wait.
1022,2024-01-26 18:30:00,support_ticket,2,Driver could not find my building and just cancelled - my groceries order in Pune,negative,Delivery,Driver cancelled order after failing to find building.
2240,2024-01-10 18:30:00,survey_comment,2,"Cannot add address, the save button is greyed out - my sushi order in Bangalore",negative,App Bug,Unable to add address due to greyed-out save button.
1296,2024-02-29 18:30:00,survey_comment,2,Notifications stopped working after the update,negative,App Bug,Notifications stopped working after update.
1611,2024-03-03 18:30:00,support_ticket,,"Best delivery service in my city, never had an issue (order #771670)",positive,Delivery,Best delivery service with no issues.
2152,2024-02-07 18:30:00,app_store_review,,"Love this app, ordering is so smooth and fast Agent Vikram was handling it.",positive,Other,App provides smooth and fast ordering.
1224,2024-06-02 18:30:00,survey_comment,1,Thank you to the agent Priya who handled my complaint so well - my milk order in Delhi,positive,Staff/Support,Agent Priya handled complaint well.
1129,2024-02-17 00:00:00,app_store_review,2,DELIVERY PERSON WAS RUDE AND THREW THE BAG ON THE FLOOR (ORDER #996840),negative,Delivery,Delivery person was rude and threw the bag.
1491,2024-03-19 18:30:00,support_ticket,5,"Love this app, ordering is so smooth and fast (order #127470)",positive,Other,App provides smooth and fast ordering.
1855,2024-02-12 18:30:00,survey_comment,5,"Super easy to use and quick checkout, well done team (order #367352)",positive,Other,Super easy to use app with quick checkout.
2090,2024-02-13 18:30:00,support_ticket,5,"Five stars, the app is fantastic and reliable Agent Priya was handling it.",positive,Other,App is fantastic and reliable.
2390,2024-02-17 18:30:00,support_ticket,2,My order arrived almost an hour late and the food was cold (order #173693),negative,Delivery,Order arrived late and food was cold.
2454,2024-02-25 18:30:00,support_ticket,1,"Package was left at the wrong door, I never received it - my milk order in Pune",negative,Delivery,"Package left at wrong door, not received."
1614,2024-02-12 00:00:00,app_store_review,,Customer care kept me on hold for 40 minutes then disconnected - my biryani order in Bangalore!!!!,negative,Staff/Support,Customer care kept user on hold and then disconnected.
2060,2024-11-01 18:30:00,survey_comment,1,Food was spilled all over the bag when it reached me Agent Meera was handling it.,negative,Delivery,Food was spilled in the bag upon delivery.
1641,2024-03-16 18:30:00,app_store_review,1,Thank yooou to the agent Priya who handled my complaint so well (order #807905),positive,Staff/Support,Agent Priya handled complaint well.
2387,2024-01-08 18:30:00,support_ticket,1,"Cannot add address, the save button is greyed out. This is the second time.",negative,App Bug,Unable to add address due to greyed-out save button.
2033,2024-01-18 18:30:00,support_ticket,2,App keeps crashing every time I open the cart (order #883785),negative,App Bug,App crashes when opening the cart.
1014,2024-01-02 18:30:00,app_store_review,2,"Package was left at the wrong door, I never received it (order #899550)!!!!",negative,Delivery,"Package left at wrong door, not received."
1911,2024-01-07 18:30:00,support_ticket,,"Best delivery service in my city, never had an issue (order #251141)",positive,Delivery,Best delivery service with no issues.
1856,2024-03-22 18:30:00,app_store_review,3,Payment failed but money got deducted from my account (order #868265),negative,Billing,Payment failed but money was deducted.
1349,2024-12-02 18:30:00,support_ticket,,Driver could not find my building and just cancelled,negative,Delivery,Driver cancelled order after failing to find building.
1581,2024-03-01 18:30:00,support_ticket,2,Noootifications stopped working after the update,negative,App Bug,Notifications stopped working after update.
2280,2024-01-12 18:30:00,survey_comment,4,"Great experience overall, food always fresh - my biryani order in Pune",positive,Other,Great experience with fresh food.
2309,2024-03-26 18:30:00,support_ticket,3,Notifications stopped working after the update Agent Meera was handling it.!!!!,negative,App Bug,Notifications stopped working after update.
1345,17/03/2024,support_ticket,1,The store staff was friendly when I picked up my order. This is the second time.,positive,Staff/Support,Store staff was friendly during pickup.
2407,2024-02-18 18:30:00,survey_comment,,"I was charged twice for the same order, please refund the extra amount - my biryani order in Mumbai",negative,Billing,Charged twice for the same order.
1629,2024-02-02 18:30:00,support_ticket,2,The invoice amount does not match what the app showed me Agent Rahul was handling it.,negative,Billing,Invoice amount does not match app display.
1308,N/A,support_ticket,2,Search bar shows no results even for items that exist - my fruits order in Chennai,negative,App Bug,Search bar shows no results for existing items.
1292,2024-03-07 00:00:00,app_store_review,1,Waited two hours and the order was finally cancelled by the app (order #393366),negative,Delivery,Order cancelled by app after two-hour wait.
2274,2024-01-03 18:30:00,support_ticket,5,"Super easy to use and quick checkout, well done team (order #400353)",positive,Other,Super easy to use app with quick checkout.
2410,2024-01-06 18:30:00,support_ticket,1,Food was spilled all over the bag when it reached me (order #999601),negative,Delivery,Food was spilled in the bag upon delivery.
1439,2024-01-04 18:30:00,app_store_review,2,MY ORDER ARRIVED ALMOST AN HOUR LATE AND THE FOOD WAS COLD AGENT RAHUL WAS HANDLING IT.,negative,Delivery,Order arrived late and food was cold.
2249,2024-02-12 16:39:04,support_ticket,1,"Items were missing from my delivery, got only half the order (order #570253)",negative,Delivery,Items missing from delivery.
1285,2024-03-06 00:00:00,support_ticket,1,"Package was left at the wrong door, I never received it - my sushi order in Bangalore",negative,Delivery,"Package left at wrong door, not received."
2139,2024-02-21 08:27:17,app_store_review,5,"BEST DELIVERY SERVICE IN MY CITY, NEVER HAD AN ISSUE (ORDER #660972)",positive,Delivery,Best delivery service with no issues.
1122,2024-03-13 18:30:00,app_store_review,2,My order arrived almost an hour late and the food was cold - my sushi order in Pune,negative,Delivery,Order arrived late and food was cold.
2498,2024-03-01 18:30:00,survey_comment,,"Best delivery service in my city, never had an issue Agent Rahul was handling it.",positive,Delivery,Best delivery service with no issues.
2077,2024-02-10 18:30:00,app_store_review,3,Food was spilled all over the bag when it reached me (order #909289),negative,Delivery,Food was spilled in the bag upon delivery.
1237,N/A,support_ticket,2,"Package was left at the wrong door, I never received it - my thali order in Hyderabad",negative,Delivery,"Package left at wrong door, not received."
2605,2024-01-06 00:00:00,survey_comment,,Do you have any job openings for delivery partners in Pune,neutral,Other,Inquiry about job openings for delivery partners.
1375,2024-01-01 18:30:00,app_store_review,2,App stuck on loading screen for 5 minutes then closed (order #588983),negative,App Bug,App stuck on loading screen and then closed.
2049,2024-03-31 18:30:00,support_ticket,,Got charged for a subscription I cancelled last month. This is the first time.,negative,Billing,Charged for a cancelled subscription.
2016,2024-03-18 18:30:00,support_ticket,5,"FIVE STARS, THE APP IS FANTASTIC AND RELIABLE AGENT SANA WAS HANDLING IT.",positive,Other,App is fantastic and reliable.
1564,N/A,survey_comment,1,The invoice amount does not match what the app showed me Agent Sana was handling it.,negative,Billing,Invoice amount does not match app display.
1133,23/03/2024,app_store_review,3,Login button does nothing on the latest update - my biryani order in Bangalore,negative,App Bug,Login button is unresponsive after update.
1454,2024-03-24 18:30:00,survey_comment,5,"Best delivery service in my city, never had an issue (order #195841)",positive,Delivery,Best delivery service with no issues.
1933,2024-01-14 18:30:00,survey_comment,,Waited two hours and the order was finally cancelled by the app (order #877293),negative,Delivery,Order cancelled by app after two-hour wait.
2027,2024-01-05 12:22:46,survey_comment,1,The support agent was very helpful and solved my issue quickly - my fruits order in Mumbai,positive,Staff/Support,Support agent was helpful and resolved the issue quickly.
2436,2024-03-20 18:30:00,survey_comment,4,"Great experience overall, food always fresh. This is the fourth time.",positive,Other,Great experience with fresh food.
1033,2024-01-21 18:30:00,survey_comment,2,Coupon SAVE50 did not apply at checkout and I paid full price - my pizza order in Bangalore,negative,Billing,Coupon did not apply at checkout.
